,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,T3,TEMA,TRIMA
80,84,1.811700655826854,2.0125681677010534,1.9550596700573764,3.373573990436576,1.7172174853924302,1.9302551605053182,1.7789576859201262,2.5750091414199123,1.782168454570811
81,85,1.8228192953154567,2.0061445973037784,1.9500011533353117,3.284324155925491,1.7305069176101127,2.312344663395212,1.7792853905670518,2.525604741162047,1.781676600466253
82,86,1.8351622988000826,2.0000456957886423,1.94564586458002,3.20093334302306,1.742570721714381,2.675723365849794,1.779606916832254,2.4550080896545974,1.7818465817657396
83,87,1.8469513661952903,1.9942488729732144,1.9419025957414633,3.1232925886915983,1.7508387779602386,2.719466957936254,1.7799222749660841,2.3638910022856683,1.7823574715714123
84,88,1.8446474622038052,1.9887335070617378,1.9382909749020603,3.0511688461996034,1.751065002005773,2.172583206524194,1.7802314714519505,2.2559473501694947,1.7826449826417454
85,89,1.8394935045401106,1.9834807408917894,1.9347422688313771,2.9842586516673726,1.7498621241868988,1.769155737767408,1.780534509713465,2.138838155766218,1.7827663249978918
86,90,1.83600532505004,1.9784733024094123,1.931393748897928,2.9222239817423468,1.731396847894081,2.1742247174707323,1.7808313908102318,2.024688206544522,1.7825942608183039
87,91,1.8274542184604692,1.973695346168385,1.928006821733966,2.86471573667634,1.7136413352729505,1.8437392601288909,1.7811221141930402,1.92965432219316,1.782126911188028
88,92,1.8161038821327553,1.9691323130141383,1.9244475877928675,2.8113887220770235,1.7105012994664013,1.6138433923665894,1.7814066784136864,1.8721573560095561,1.7813824636375493
89,93,1.8138298094129783,1.9647708056572797,1.920953553291706,2.761910833903108,1.7195288087331586,1.5944702035994869,1.7816850817839933,1.8697317825203332,1.7806335733257406
90,94,1.8140397351305046,1.9605984781546402,1.91754759531532,2.7159683318686625,1.7318341612767707,1.6378165846843455,1.7819573231654904,1.935068559414973,1.7802647880713518
91,95,1.818203075417333,1.9566039374253263,1.9143761139863353,2.6732685234869895,1.7501009344629546,1.8654352083074057,1.7822234025174513,2.0724406538680338,1.7800788166299046
92,96,1.8132896712396007,1.9527766553984014,1.9111435792952032,2.633540745508263,1.7738408289112342,1.8416868511969764,1.7824833213791658,2.275881289040667,1.7799506071764057
93,97,1.8007939403934752,1.9491068907104105,1.9076140041230603,2.5965362396223526,1.7856976698833542,1.834411653917866,1.7827370839255148,2.5299605278903514,1.7795685538440371
94,98,1.7854643300446658,1.9455856182924878,1.9037303672501351,2.562027390436405,1.7800223102679864,1.8271491630181955,1.7829846970992937,2.812967845462218,1.779078387806173
95,99,1.7747835788846549,1.9422044663505489,1.899685463535988,2.5298065595288115,1.7864514049451632,1.7760579372762249,1.7832261710691415,3.101342314980982,1.778354389159578
